* Measurement data measured by REW V5.31.3
* Source: Microphone (Conexant ISST Audio), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Aug 8, 2025 2:05:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Woofer Only 2 Aug 8
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
766.481148 88.017 -177.9787
772.035387 87.989 -178.2684
777.629873 87.964 -178.5397
783.264900 87.941 -178.7926
788.940760 87.920 -179.0273
794.657750 87.899 -179.2449
800.416168 87.877 -179.4474
806.216313 87.854 -179.6365
812.058489 87.831 -179.8137
817.943000 87.809 -179.9810
823.870152 87.788 179.8588
829.840255 87.770 179.7022
835.853619 87.757 179.5458
841.910559 87.749 179.3880
848.011390 87.746 179.2307
854.156430 87.749 179.0793
860.346000 87.754 178.9365
866.580422 87.760 178.7989
872.860020 87.767 178.6602
879.185124 87.773 178.5157
885.556062 87.780 178.3622
891.973166 87.788 178.1983
898.436771 87.798 178.0235
904.947215 87.810 177.8365
911.504835 87.823 177.6357
918.109975 87.839 177.4202
924.762978 87.856 177.1900
931.464192 87.875 176.9464
938.213966 87.895 176.6907
945.012651 87.915 176.4221
951.860602 87.935 176.1373
958.758176 87.954 175.8309
965.705733 87.973 175.5004
972.703635 87.992 175.1475
979.752246 88.011 174.7751
986.851935 88.031 174.3865
994.003071 88.051 173.9836
1001.206027 88.072 173.5680
1008.461179 88.094 173.1405
1015.768904 88.118 172.7017
1023.129584 88.142 172.2522
1030.543603 88.168 171.7933
1038.011347 88.195 171.3279
1045.533205 88.221 170.8602
1053.109569 88.246 170.3937
1060.740836 88.268 169.9281
1068.427401 88.286 169.4610
1076.169666 88.301 168.9904
1083.968035 88.313 168.5166
1091.822915 88.322 168.0412
1099.734713 88.327 167.5661
1107.703844 88.329 167.0930
1115.730723 88.327 166.6228
1123.815768 88.320 166.1560
1131.959400 88.309 165.6920
1140.162045 88.294 165.2285
1148.424129 88.277 164.7622
1156.746083 88.260 164.2917
1165.128342 88.244 163.8199
1173.571343 88.232 163.3510
1182.075524 88.223 162.8872
1190.641331 88.218 162.4282
1199.269209 88.216 161.9726
1207.959608 88.216 161.5192
1216.712981 88.220 161.0669
1225.529785 88.225 160.6150
1234.410479 88.233 160.1636
1243.355526 88.243 159.7130
1252.365393 88.253 159.2616
1261.440549 88.265 158.8051
1270.581467 88.278 158.3391
1279.788624 88.291 157.8615
1289.062500 88.304 157.3716
1298.403578 88.318 156.8686
1307.812346 88.330 156.3510
1317.289293 88.342 155.8173
1326.834914 88.351 155.2657
1336.449707 88.359 154.6949
1346.134173 88.364 154.1046
1355.888816 88.366 153.4962
1365.714145 88.364 152.8727
1375.610673 88.358 152.2356
1385.578915 88.347 151.5848
1395.619391 88.331 150.9193
1405.732624 88.308 150.2386
1415.919142 88.279 149.5432
1426.179476 88.243 148.8339
1436.514160 88.201 148.1123
1446.923734 88.152 147.3809
1457.408740 88.097 146.6448
1467.969724 88.034 145.9100
1478.607238 87.963 145.1815
1489.321836 87.883 144.4622
1500.114076 87.794 143.7550
1510.984521 87.696 143.0632
1521.933737 87.590 142.3899
1532.962297 87.477 141.7389
1544.070773 87.358 141.1152
1555.259747 87.233 140.5259
1566.529800 87.105 139.9771
1577.881521 86.975 139.4710
1589.315501 86.842 139.0051
1600.832336 86.711 138.5746
1612.432627 86.581 138.1738
1624.116978 86.455 137.7966
1635.886000 86.332 137.4363
1647.740304 86.211 137.0861
1659.680509 86.091 136.7393
1671.707238 85.971 136.3881
1683.821118 85.850 136.0225
1696.022780 85.727 135.6315
1708.312860 85.602 135.2042
1720.692000 85.474 134.7293
1733.160843 85.343 134.1962
1745.720041 85.209 133.5948
1758.370248 85.070 132.9170
1771.112124 84.927 132.1598
1783.946332 84.780 131.3258
1796.873543 84.629 130.4210
1809.894429 84.473 129.4531
1823.009670 84.312 128.4310
1836.219950 84.147 127.3635
1849.525956 83.975 126.2597
1862.928384 83.798 125.1306
1876.427931 83.613 123.9916
1890.025301 83.421 122.8604
1903.721204 83.218 121.7538
1917.516352 83.005 120.6863
1931.411466 82.778 119.6697
1945.407270 82.539 118.7135
1959.504493 82.286 117.8277
1973.703870 82.018 117.0236
1988.006142 81.736 116.3102
2002.412054 81.437 115.6932
2016.922357 81.122 115.1758
2031.537808 80.791 114.7599
2046.259169 80.446 114.4464
2061.087206 80.088 114.2338
2076.022694 79.721 114.1192
2091.066410 79.347 114.1007
